match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,season
308,1,Chennai Super Kings,Mumbai Indians,14,4,S Badrinath,MS Dhoni,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,14,5,MS Dhoni,S Badrinath,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,14,6,S Badrinath,MS Dhoni,PP Ojha,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,15,1,MS Dhoni,S Badrinath,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,15,2,MS Dhoni,S Badrinath,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,15,3,S Badrinath,MS Dhoni,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,15,4,S Badrinath,MS Dhoni,KA Pollard,0,1,0,0,0,0,0,1,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,15,5,S Badrinath,MS Dhoni,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,15,6,MS Dhoni,S Badrinath,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,15,7,S Badrinath,MS Dhoni,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,16,1,S Badrinath,MS Dhoni,PP Ojha,0,0,0,0,0,0,0,0,0,MS Dhoni,run out,AN Ahmed,2012
308,1,Chennai Super Kings,Mumbai Indians,16,2,RA Jadeja,S Badrinath,PP Ojha,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,16,3,RA Jadeja,S Badrinath,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,16,4,S Badrinath,RA Jadeja,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,16,5,RA Jadeja,S Badrinath,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,16,6,S Badrinath,RA Jadeja,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,17,1,S Badrinath,RA Jadeja,KA Pollard,0,0,0,0,0,0,0,0,0,S Badrinath,caught,Harbhajan Singh,2012
308,1,Chennai Super Kings,Mumbai Indians,17,2,R Ashwin,RA Jadeja,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,17,3,RA Jadeja,R Ashwin,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,17,4,R Ashwin,RA Jadeja,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,17,5,R Ashwin,RA Jadeja,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,17,6,R Ashwin,RA Jadeja,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,18,1,R Ashwin,RA Jadeja,SL Malinga,0,0,0,0,0,0,1,0,1,R Ashwin,run out,Harbhajan Singh,2012
308,1,Chennai Super Kings,Mumbai Indians,18,2,SB Jakati,RA Jadeja,SL Malinga,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,18,3,SB Jakati,RA Jadeja,SL Malinga,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,18,4,SB Jakati,RA Jadeja,SL Malinga,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,18,5,SB Jakati,RA Jadeja,SL Malinga,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,18,6,RA Jadeja,SB Jakati,SL Malinga,0,0,0,0,0,0,0,0,0,RA Jadeja,bowled,,2012
308,1,Chennai Super Kings,Mumbai Indians,19,1,SB Jakati,DE Bollinger,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,19,2,DE Bollinger,SB Jakati,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,19,3,DE Bollinger,SB Jakati,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,19,4,SB Jakati,DE Bollinger,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,19,5,DE Bollinger,SB Jakati,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,19,6,SB Jakati,DE Bollinger,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,20,1,SB Jakati,DE Bollinger,SL Malinga,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,20,2,DE Bollinger,SB Jakati,SL Malinga,0,0,0,0,0,0,1,0,1,,,,2012
